anio,mes,establecimiento,lat,lon,ciudad,provincia,poblacion,fallecimientos,mt,sanciones
2009,1 ,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8202,Marcos Paz,Buenos Aires,221,0,0,29
2009,2,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8203,Marcos Paz,Buenos Aires,208,0,1,23
2009,3,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8204,Marcos Paz,Buenos Aires,211,0,0,27
2009,4,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8205,Marcos Paz,Buenos Aires,207,0,1,22
2009,5,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8206,Marcos Paz,Buenos Aires,202,0,0,19
2009,6,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8207,Marcos Paz,Buenos Aires,198,0,0,33
2009,7 ,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8208,Marcos Paz,Buenos Aires,192,0,0,11
2009,8,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8209,Marcos Paz,Buenos Aires,200,0,0,13
2009,9,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.821,Marcos Paz,Buenos Aires,196,0,0,15
2009,10,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8211,Marcos Paz,Buenos Aires,195,0,0,5
2009,11,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8212,Marcos Paz,Buenos Aires,195,0,0,9
2009,12,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8213,Marcos Paz,Buenos Aires,190,0,0,9
2010,1 ,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8214,Marcos Paz,Buenos Aires,192,0,0,12
2010,2,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8215,Marcos Paz,Buenos Aires,199,0,0,8
2010,3,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8216,Marcos Paz,Buenos Aires,200,0,0,10
2010,4,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8217,Marcos Paz,Buenos Aires,210,0,0,13
2010,5,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8218,Marcos Paz,Buenos Aires,204,0,0,12
2010,6,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8219,Marcos Paz,Buenos Aires,205,0,0,10
2010,7 ,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.822,Marcos Paz,Buenos Aires,208,0,0,4
2010,8,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8221,Marcos Paz,Buenos Aires,504,0,0,35
2010,9,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8222,Marcos Paz,Buenos Aires,485,0,0,24
2010,10,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8223,Marcos Paz,Buenos Aires,496,0,5,30
2010,11,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8224,Marcos Paz,Buenos Aires,497,0,5,33
2010,12,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8225,Marcos Paz,Buenos Aires,497,0,8,22
2011,1 ,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8226,Marcos Paz,Buenos Aires,507,0,2,29
2011,2,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8227,Marcos Paz,Buenos Aires,507,0,5,31
2011,3,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8228,Marcos Paz,Buenos Aires,499,0,2,34
2011,4,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8229,Marcos Paz,Buenos Aires,515,0,5,28
2011,5,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.823,Marcos Paz,Buenos Aires,494,0,0,34
2011,6,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8231,Marcos Paz,Buenos Aires,495,0,4,42
2011,7 ,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8232,Marcos Paz,Buenos Aires,489,0,2,27
2011,8,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8233,Marcos Paz,Buenos Aires,501,0,1,28
2011,9,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8234,Marcos Paz,Buenos Aires,509,0,8,32
2011,10,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8235,Marcos Paz,Buenos Aires,496,0,16,49
2011,11,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8236,Marcos Paz,Buenos Aires,494,0,0,31
2011,12,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8237,Marcos Paz,Buenos Aires,458,0,0,35
2012,1 ,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8238,Marcos Paz,Buenos Aires,450,0,3,45
2012,2,Complejo Federal de Jóvenes Adultos - Marcos Paz y Anexo CPFJA,-58.8306,-34.8239,Marcos Paz,Buenos Aires,452,0,16,42
